customer_id,first_name,last_name,email,street,city,state,country
0,Debra,Long,markluna@example.com,9539 Kimberly Ranch,Port Keith,Nebraska,Czech Republic
1,Tiffany,Daniel,dfrye@example.net,90687 Brandy Street,New Darrylmouth,North Dakota,Korea
2,Scott,Torres,cwalker@example.org,33837 Mitchell Street Suite 475,Murraytown,Maryland,Austria
3,Samantha,Kelley,gabriela42@example.org,702 Gregory Square Suite 486,South Taylor,Florida,Qatar
4,Raven,Miles,brandon34@example.net,07297 Watts Ramp Suite 265,West Teresatown,Rhode Island,Mali
5,Misty,Cook,woodjohnathan@example.net,96039 Justin Highway Suite 721,North Travis,Florida,Turkmenistan
6,Courtney,Hanson,jerome40@example.com,086 Nathan Extensions Apt. 135,Careyview,Alabama,Kazakhstan
7,Raymond,Burns,ashley94@example.org,604 Amanda Ridges Apt. 002,North Rachel,Florida,Serbia
8,Christopher,Chambers,nwade@example.net,5634 Smith Rue Apt. 868,Simpsonland,Colorado,Guinea
9,Tracey,Kirby,alexisgonzalez@example.com,298 Jordan Inlet,Lake Rhondaville,Oklahoma,Guatemala
10,Alexandra,Brown,hughesdaniel@example.org,441 Jones Drive Apt. 848,Carterton,Alaska,Gambia
11,Cynthia,Galloway,amay@example.com,8195 Allen Forge,Deannaberg,Kansas,Vietnam
12,Diana,Gray,elijah04@example.net,29819 Leblanc Roads,New Beth,New Hampshire,Dominican Republic
13,Curtis,Bass,suttonkaren@example.com,917 Robert Fords Apt. 501,Anthonymouth,Oklahoma,Georgia
14,Michelle,Montgomery,clarkdanielle@example.com,346 Ashley Ports Apt. 775,Lynnhaven,Texas,Guatemala
15,Jacob,Contreras,guerrerochristopher@example.net,9942 Julia Glen Apt. 460,Davidmouth,Massachusetts,Kuwait
16,Charlene,Berry,kellysandra@example.org,101 Gary Station Apt. 139,Sarashire,Rhode Island,Sudan
17,Dawn,Dawson,xholmes@example.net,5508 Franklin Village,West Kristen,Massachusetts,American Samoa
18,Angelica,Barrera,beverly11@example.com,320 Cindy Terrace Suite 342,Johnston,North Dakota,Maldives
19,Brent,Lambert,vtorres@example.org,76602 Erica Lodge,Lindseyhaven,Iowa,Isle of Man
20,Jeffrey,Olson,kim95@example.net,28738 Glenda Roads Apt. 789,Port Benjamin,New Jersey,Liechtenstein
21,Elizabeth,Gordon,jenniferbailey@example.org,686 Carter Dam Apt. 811,West Virginiaton,New York,Guyana
22,Daniel,Farley,jessicacollins@example.net,9731 Christopher Station,Mitchellville,Kansas,Israel
23,Aaron,Hughes,nrice@example.com,2188 Renee Plains,Deckerton,Washington,Angola
24,Angela,Diaz,debracole@example.net,1757 Guzman Knolls,Matafort,Texas,Ghana
25,Barry,Mccoy,gaguirre@example.com,8462 Bush Crest,Amandaland,Mississippi,Cocos (Keeling) Islands
26,Kimberly,Brown,smithrussell@example.org,46263 Crawford Course Apt. 168,Lake Patrick,Oklahoma,El Salvador
27,Robert,Glenn,johnsonlindsay@example.com,67686 Chad Drive Apt. 314,Nicholasberg,Connecticut,Malta
28,Emily,Gonzalez,taylorrobert@example.com,58902 Clark Highway,North Daniel,Pennsylvania,Bosnia and Herzegovina
29,Timothy,Cannon,fritzmary@example.org,67702 Amy Shoals,Port Ryan,New Hampshire,France
30,Donna,West,egraves@example.com,6513 Patrick Vista,North Marvinfurt,Iowa,Anguilla
31,Gregory,Taylor,fosterjohn@example.org,06317 Mark Manor,Melissamouth,West Virginia,Peru
32,Bianca,Ward,zanderson@example.net,3394 Erin Track Apt. 738,Lake Andreamouth,West Virginia,Sierra Leone
33,Dennis,Mckee,fjohnson@example.net,07283 Justin Drives Apt. 429,West Michael,Oregon,Uruguay
34,Maria,Barry,shamilton@example.com,51290 Robert Curve,Michaelville,North Dakota,Finland
35,Sherry,Johnson,qmeyer@example.net,172 Carr Cliff Apt. 500,West Joshuaview,Washington,Romania
36,George,Anderson,shanegomez@example.org,41334 Powell Lake,Jonport,North Carolina,Barbados
37,Heather,Fitzpatrick,kennedyapril@example.net,955 Young Key Apt. 653,Jeremyfurt,Arizona,Guinea
38,Michael,Williams,singhbrittany@example.org,0418 Johnson Centers Suite 077,East Tiffany,Kentucky,Saint Helena
39,Katherine,Villa,matthew98@example.org,17554 Nichols Shoals,North Robertland,Maine,Serbia
40,Joanne,Bailey,nperez@example.org,41203 Gordon Highway,West Vincentville,Texas,Mozambique
41,Jeffrey,Gray,smurphy@example.org,9030 Antonio Bypass Apt. 681,Heatherland,Kentucky,Moldova
42,Todd,Burgess,crystalmason@example.net,37637 Elizabeth Skyway Apt. 205,North Alexandershire,Minnesota,Djibouti
43,Craig,Carter,elane@example.net,545 Raymond Ville,Port Jennifer,Oklahoma,Swaziland
44,Kaitlyn,Obrien,laura21@example.com,339 Kimberly Glen,Margaretton,Texas,Bolivia
45,Robert,Phillips,michelle13@example.net,67000 Gonzalez Lodge Suite 888,Angelatown,Ohio,Panama
46,Jacqueline,Gillespie,randall98@example.net,30433 Jennifer Trail Suite 365,Sarahfort,New Mexico,Afghanistan
47,William,Franklin,kreed@example.org,6168 Laura Ridge Apt. 725,New Ashleefurt,Maryland,Pitcairn Islands
48,Andrea,Aguilar,williamschristopher@example.net,719 Dennis Underpass,Kellymouth,Wyoming,Martinique
49,Michael,Brady,diazluis@example.net,7733 Jennifer Stream,Davidville,Oregon,Rwanda
50,Rachel,Schmidt,melissastewart@example.org,9485 Kathryn Orchard Suite 463,Taylorburgh,Kansas,Kenya
51,Jessica,Oliver,tracey60@example.org,99600 Wallace Manor,Durhamfurt,Oklahoma,Comoros
52,Cassandra,Aguilar,jonespatrick@example.org,4239 Walker Roads Suite 779,Johnsonborough,Wyoming,Solomon Islands
53,Nicholas,Patterson,gutierrezbenjamin@example.com,9501 Peterson Run Apt. 797,Harrismouth,Nevada,Portugal
54,Isaac,Walker,walkerkyle@example.com,66826 Ferguson Pass,Port Stephenfort,New Hampshire,Wallis and Futuna
55,Tony,Hernandez,zacharymartinez@example.com,2925 Sarah Courts Apt. 193,Heatherport,Texas,Korea
56,Justin,Martinez,smithbreanna@example.com,807 Alex Green Apt. 549,Nelsonside,Pennsylvania,Svalbard & Jan Mayen Islands
57,Jake,Andrews,patricia78@example.com,55789 Woods Row Apt. 426,Smithborough,Mississippi,Cyprus
58,Virginia,Murray,benjamin26@example.com,1352 Salazar Heights Apt. 740,Port Christopher,North Carolina,Saint Lucia
59,Steven,Foster,tranleah@example.org,954 Charles Extension Apt. 930,Wilsonborough,South Dakota,Bouvet Island (Bouvetoya)
60,Victoria,Williams,xwilson@example.net,302 Montgomery Mountain Suite 874,Port Margaret,Florida,Indonesia
61,William,Callahan,nicholastaylor@example.com,0668 Miller Mall Apt. 686,Alexismouth,Idaho,Bahamas
62,Kristen,Gallegos,walter82@example.net,51217 Anne Ville Apt. 898,Port Nicole,Rhode Island,Netherlands
63,Jason,Maynard,ijacobson@example.net,193 Hall Tunnel,Marymouth,Vermont,Guam
64,Gloria,Bell,carrollgregory@example.com,206 Mclean Manor,West Danielle,North Dakota,Saint Vincent and the Grenadines
65,Christopher,Weeks,michellewashington@example.com,544 Johnny Falls Apt. 687,Lauraside,Wisconsin,Afghanistan
66,Pamela,Fernandez,katelyn83@example.org,171 David Circle Apt. 391,North Russell,South Carolina,Saint Kitts and Nevis
67,Michael,Ward,scottrobert@example.org,7122 Brown Expressway Apt. 488,West Bonnie,Colorado,Holy See (Vatican City State)
68,Michelle,Mcdonald,josephlara@example.com,19007 Chan Ferry,Andrewchester,California,Slovakia (Slovak Republic)
69,Austin,Clark,shernandez@example.org,55055 Robert Islands Suite 004,New James,Alaska,Suriname
70,Charles,Mcgee,michaelwhite@example.net,56196 Daniel Wall,Brandonland,Texas,Cape Verde
71,Anne,Wong,oortega@example.org,3939 Teresa Meadows,East Phyllis,Massachusetts,Austria
72,Jonathan,Moss,michelleramsey@example.com,9578 Timothy Terrace,Lake Tyler,Colorado,Christmas Island
73,John,Walters,lauren19@example.org,308 Cynthia Ridge,Smithbury,North Carolina,China
